_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE,Indicador
3,24296649,Aliança do Tocantins,GOVERNO E CIDADAO,ENCARGOS ESPECIAIS,SERVICO DA DIVIDA INTERNA,PAGAMENTO DO SERVICO DA DIVIDA - PARCELAMENTO INSS,,,
4,24296644,Aliança do Tocantins,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA MUNICIPAL DE FINANCAS E ARRECADACAO,,,
2,24296553,Aliança do Tocantins,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADES ADMINISTRATIVA DA CAMARA MUNICIPAL,,-,-
9,24296676,Aliança do Tocantins,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,"MANUT, SEC, MUN, DE ADMINISTRACAO, PLANEJ, GESTAO E ORCAMENTO",,-,-
1140,24072253,Peixe,COMPLEXOS ESPORTIVOS,DESPORTO E LAZER,DESPORTO COMUNITARIO,REFORMAMANUTENCAO DE CAMPOS DE FUTEBOL,-,-,0
1600,24072064,Peixe,COMPLEXOS ESPORTIVOS,DESPORTO E LAZER,DESPORTO COMUNITARIO,REFORMAMANUTENCAO DE CAMPOS DE FUTEBOL,-,-,0
656,24209872,Crixás do Tocantins,ASSISTENCIA SOCIAL PARA PRIMEIRA INFANCIA,ASSISTENCIA SOCIAL,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,PROMOCAO DA FAMILIA COMO ESPACO ADEQUADO PARA O DESENVOLVIMENTO DA CRIANCA,Assitência Social,Específico,1
680,24209714,Crixás do Tocantins,ASSISTENCIA SOCIAL PARA PRIMEIRA INFANCIA,ASSISTENCIA SOCIAL,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,PROTECAO BASICA PARA A PRIMEIRA INFANCIA,Assitência Social,Específico,1
5,24296660,Aliança do Tocantins,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,"MANUTENCAO DO CENTRO DE REF, DE ASSISTENCIA SOCIAL-CRAS",Assitência Social,Não Específico,0.09
12,24296715,Aliança do Tocantins,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,"PROMOCAO AP, DA GESTAO DO PROG, BOLSA FAMILIA - BF",Assitência Social,Não Específico,0.09
7,24296665,Aliança do Tocantins,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,MANUTENCAO DAS ATIVIDADES DO CONSELHO TUTELAR,Assitência Social,Não específico,0.09
8,24296669,Aliança do Tocantins,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CONSELHO E COLABORADOR EVENTUAL,Assitência Social,Não específico,0.09
825,24209991,Crixás do Tocantins,ASSISTENCIA SOCIAL PARA PRIMEIRA INFANCIA,ASSISTENCIA SOCIAL,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,CONSTRUCAO DE ESPACOS PARA O LAZER DE CRIANCAS NA PRIMEIRA INFANCIA,Cultura e Direito de Brincar,Específico,1
