_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
62,24215917,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,Assistencia Social,Nao Especifico,Alta,"CREAS integra protecao social especial e atende familias e individuos vulneraveis, incluindo familias com criancas pequenas de forma nao exclusiva.",,Nao
63,24215919,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,TECNOLOGIA DA INFORMACAO,"MANUTENCAO DA SECRETARIA DE COMUNICACAO, CIENCIA, TECNOLOGIA E INOVACAO",nao se aplica,-,Alta,"Manutencao de secretaria administrativa de comunicacao, ciencia, tecnologia e inovacao sem finalidade identificavel ligada ao publico da primeira infancia.",,Nao
64,24215876,Alvorada,MEIO AMBIENTE,GESTAO AMBIENTAL,PRESERVACAO E CONSERVACAO AMBIENTAL,MANUTENCAO DA SECRETARIA MUNICIPAL DE MEIO AMBIENTE,nao se aplica,-,Alta,"Conservacao ambiental e manutencao administrativa de meio ambiente sao exclusoes gerais quando nao ha beneficio concreto a criancas de 0 a 6 anos, gestantes ou lactantes.",,Nao
65,24215861,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DO ENSINO FUNDAMENTAL,nao se aplica,-,Alta,"Manutencao do ensino fundamental nao corresponde a educacao infantil e nao explicita beneficio a criancas de 0 a 6 anos.",,Nao
66,24215894,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,ADMINISTRACAO GERAL,"MANUTENCAO DA SECRETARIA MUNICIPAL DE DESPORTO, LAZER E TURISMO",nao se aplica,-,Alta,"Gestao geral de desporto, lazer e turismo nao demonstra acao especifica de brincar, cultura ou lazer voltada a criancas de 0 a 6 anos.",,Nao
67,24215888,Alvorada,GOVERNO E CIDADAO,ADMINISTRACAO,ENSINO SUPERIOR,MANUTENCAO DO ENSINO SUPERIOR,nao se aplica,-,Alta,"Ensino superior nao integra o escopo da primeira infancia e nao apresenta conexao com o publico-alvo do GSPI-M.",,Nao
68,24215853,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),Assistencia Social,Nao Especifico,Alta,"CRAS integra a protecao social basica e atende familias e individuos, incluindo familias com criancas pequenas de forma ampliada.",,Nao
69,24215843,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,MANUTENCAO DO TRANSPORTE ESCOLAR - FUNDEB 30%,Educacao Infantil,Nao Especifico,Media,"Transporte escolar em programa de educacao pode apoiar a rede educacional que inclui educacao infantil; a linha usa FUNDEB 30%, mas nao explicita etapa infantil nem exclusividade.","Confirmar se o transporte escolar atende a educacao infantil.",Sim
70,24215846,Alvorada,"CULTURA, ESPORTE E LAZER",DESPORTO E LAZER,DESPORTO COMUNITARIO,MANUTENCAO DO PROGRAMA DE INCENTIVO AO ESPORTE,nao se aplica,-,Alta,"Programa geral de incentivo ao esporte nao explicita publico de 0 a 6 anos nem finalidade de brincar/lazer voltada a primeira infancia.",,Nao
71,24215848,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,REALIZACAO DE ACOES COMEMORATIVAS E EVENTOS CIVICOS,nao se aplica,-,Alta,"Eventos civicos gerais nao demonstram beneficio concreto ao publico da primeira infancia.",,Nao
