_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE
2,24215783,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,,
3,24216016,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ESSENCIAL A JUSTICA,DEFESA DA ORDEM JURIDICA,MANUTENCAO DA PROCURADORIA GERAL,,
4,24216032,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,GESTAO DA SECRETARIA MUNICIPAL DE FINANCAS (SEFIN),,
5,24216034,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE EDUCACAO - FME,,
6,24216040,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,,
7,24216047,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA DE ADMINISTRACAO,,
8,24216057,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA EPIDEMIOLOGICA,REALIZACAO DAS ACOES DE VIGILANCIA EM SAUDE,,
9,24216059,Alvorada,GARANTIA DOS DIREITOS DAS MULHERES,DIREITOS DA CIDADANIA,ASSISTENCIA COMUNITARIA,GESTAO DA SECRETARIA MUNICIPAL DE POLITICAS PARA MULHERES,,
10,24216062,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),,
11,24216107,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,,
12,24216138,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA DE ADMINISTRACAO,,
13,24216155,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,,
14,24216161,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE (FMS),,
15,24216162,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,REMUNERACAO DE PROFISSIONAL DA EDUCACAO - ENSINO FUNDAMENTAL - FUNDEB 70%,,
16,24215798,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,DIFUSAO CULTURAL,GESTAO DA SECRETARIA MUNICIPAL DE CULTURA,,
17,24215805,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),,
18,24215821,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,,
19,24215864,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),,
20,24215896,Alvorada,PRIMEIRA INFANCIA,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DAS ACOES NA PRIMEIRA INFANCIA,,
21,24215948,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,SUPORTE PROFILATICO E TERAPEUTICO,MANUTENCAO DA ASSISTENCIA FARMACEUTICA BASICA,,
